id,title,artist,year,genre,style,sample
75,Show Me the Way,Dilated Peoples feat. Aloe Blacc,2014,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
76,Wussup Wit the Luv,Digital Underground feat. 2Pac,1993,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
77,Trigger Hippie,Morcheeba,1995,Rock / Pop,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
78,Words From the Nutcracker,Gang Starr feat. Melachi the Nutcracker,1994,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
79,Drainos,Madvillain,2008,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
80,It's Going Down,EPMD,1992,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
81,Stress,Organized Konfusion,1994,Hip-Hop / Rap / R&B,Drums,https://www.whosampled.com/Mountain/Long-Red/
82,X (Y'all Know the Name),"X-Ecutioners and Pharoahe Monch feat. Xzibit, Inspectah Deck and Skillz",2002,Hip-Hop / Rap / R&B,Multiple Elements,https://www.whosampled.com/Mountain/Long-Red/
83,Dolly My Baby (Hip Hop Mix),Super Cat feat. Mary J. Blige,1993,Reggae / Dub,Drums,https://www.whosampled.com/Mountain/Long-Red/
84,Young Niggas,Tory Lanez,2020,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
85,Le Jour Où Tu Partiras,Oxmo Puccino feat. K-reen,1998,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
86,Respect the Architect (Remix),Guru feat. Bahamadia and Ramsey Lewis,1995,Hip-Hop / Rap / R&B,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
87,Take Ü There (Vindata Remix),Jack Ü feat. Kiesza,2014,Electronic / Dance,Vocals / Lyrics,https://www.whosampled.com/Mountain/Long-Red/
