,title,artist,year,sample,genre,style
90,Lifestyles of the Rich & Shameless,Lost Boyz,1995,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Drums
91,I'm Better,Missy Elliott feat. Cainon Lamb,2017,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
92,The Ultimate,Artifacts,1997,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
93,Ruffneck,Freestylers feat. Navigator,1998,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
94,My Melody (Original Mix),Eric B. feat. Rakim,1986,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
95,Glamour and Glitz,A Tribe Called Quest,1995,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
96,Witch Doctor,Hopsin,2017,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
97,Stop Cryin',50 Cent,2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
98,Walking in My Shoes (Grungy Gonads Mix),Depeche Mode,1993,https://www.whosampled.com/Mountain/Long-Red/,Electronic / Dance,Drums
99,Money ($ / * ...),Mariah Carey feat. Fabolous,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
100,Get Funky (Remix),The Beatnuts,1994,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
101,Playtime,Khalil feat. Justin Bieber,2014,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
102,Save Me Dear,Ghostface Killah,2004,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
103,Peso,Machine Gun Kelly feat. Pusha T and Meek Mill,2013,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
104,Black Swan,"Statik Selektah feat. Nitty Scott, MC and Rapsody",2011,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
105,A Better Day,Ill Biskits,1996,https://www.whosampled.com/Mountain/Long-Red/,Hip-Hop / Rap / R&B,Vocals / Lyrics
